"site","site_type","site_id","variable_name","summary","voc_name","mw","category_1","category_2","category_1no","category_2no"
"28th & Point Breeze","stationary",5,"octane","0.08 (0.08)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"28th & Point Breeze","stationary",5,"decane","0.07 (0.05)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"28th & Point Breeze","stationary",5,"dodecane","0.04 (0.02)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"28th & Point Breeze","stationary",5,"undecane","0.09 (0.05)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"28th & Point Breeze","stationary",5,"cyclohexane_methyl","0.45 (0.22)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"28th & Point Breeze","stationary",5,"x2_pentene_z_cis","0.01 (0.02)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"28th & Point Breeze","stationary",5,"x1_3_butadiene_2_methyl","0.01 (0.03)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"28th & Point Breeze","stationary",5,"x1_hexene","0.06 (0.05)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"28th & Point Breeze","stationary",5,"methyl_isobutyl_ketone","0.00 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"28th & Point Breeze","stationary",5,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"28th & Point Breeze","stationary",5,"benz12chloro","0.02 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"28th & Point Breeze","stationary",5,"tce","0.02 (0.01)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Point Breeze","stationary",5,"trichlorofluoromethane","0.10 (0.12)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Point Breeze","stationary",5,"trichloromethane","0.04 (0.02)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Point Breeze","stationary",5,"carbon_tetrachloride","0.27 (0.13)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"25th & Point Breeze","stationary",6,"benzene","0.33 (0.25)","Benzene",78.11,"BTEX","BTEX",1,1
