variable_name,flag_type,count,percentage,n_perc,voc_name,mw,category_1,category_2,category_2no,sort_in_category
carbon_tetrachloride,nd,6,1.3,6 (1.3%),Carbon tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
carbon_tetrachloride,lod,1,0.2,1 (0.2%),Carbon tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
carbon_tetrachloride,reg,444,98.4,444 (98.4%),Carbon tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
carbon_tetrachloride,ulod,0,0,0 (0%),Carbon tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
tce,nd,3,0.7,3 (0.7%),Tetrachloroethylene,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
tce,lod,0,0,0 (0%),Tetrachloroethylene,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
tce,reg,448,99.3,448 (99.3%),Tetrachloroethylene,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
tce,ulod,0,0,0 (0%),Tetrachloroethylene,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
trichlorofluoromethane,nd,2,0.4,2 (0.4%),Trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
trichlorofluoromethane,lod,0,0,0 (0%),Trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
trichlorofluoromethane,reg,449,99.6,449 (99.6%),Trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
trichlorofluoromethane,ulod,0,0,0 (0%),Trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
benz12chloro,nd,33,7.3,33 (7.3%),"1,2-dichlorobenzene",147.01,Benzene Derivatives,Chlorinated Compounds,8,5
benz12chloro,lod,241,53.4,241 (53.4%),"1,2-dichlorobenzene",147.01,Benzene Derivatives,Chlorinated Compounds,8,5
benz12chloro,reg,177,39.2,177 (39.2%),"1,2-dichlorobenzene",147.01,Benzene Derivatives,Chlorinated Compounds,8,5
benz12chloro,ulod,0,0,0 (0%),"1,2-dichlorobenzene",147.01,Benzene Derivatives,Chlorinated Compounds,8,5
