"site","site_type","site_id","variable_name","summary","voc_name","variable_name_old","mw","category_1","category_2","category_2no","sort_in_category"
"61st & Passyunk","stationary",3,"nonane","0.5 [0.3, 0.8]","Nonane","nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"61st & Passyunk","stationary",3,"decane","0.4 [0.4, 0.6]","Decane","decane",149.29,"Alkanes","C10-C12 Alkanes",4,1
"61st & Passyunk","stationary",3,"undecane","0.5 [0.4, 0.6]","Undecane","undecane",156.31,"Alkanes","C10-C12 Alkanes",4,2
"61st & Passyunk","stationary",3,"dodecane","0.3 [0.2, 0.3]","Dodecane","dodecane",170.34,"Alkanes","C10-C12 Alkanes",4,3
"61st & Passyunk","stationary",3,"butane_2_methyl","0.8 [0.4, 1.4]","Isopentane","butane_2_methyl",72.151,"Alkanes","Other Alkanes",5,1
"61st & Passyunk","stationary",3,"pentane_2_methyl","9.0 [5.7, 13.6]","Isohexane","pentane_2_methyl",86.178,"Alkanes","Other Alkanes",5,2
"61st & Passyunk","stationary",3,"hexane_2_methyl","1.1 [0.7, 1.8]","2-Methylhexane","hexane2methyl",100.2,"Alkanes","Other Alkanes",5,3
"61st & Passyunk","stationary",3,"hexane_3_methyl","2.4 [1.5, 3.9]","3-Methylhexane","hexane_3_methyl",100.205,"Alkanes","Other Alkanes",5,4
"61st & Passyunk","stationary",3,"heptane_3_methyl","1.0 [0.7, 1.4]","3-Methylheptane","heptane3methyl",114.23,"Alkanes","Other Alkanes",5,5
"61st & Passyunk","stationary",3,"pentane_3_methyl","2.9 [2.0, 5.0]","3-Methylpentane","pentane_3_methyl",86.178,"Alkanes","Other Alkanes",5,6
"61st & Passyunk","stationary",3,"pentane_2_4_dimethyl","0.5 [0.3, 0.7]","2,4-Dimethylpentane","pentane_2_4_dimethyl",100.205,"Alkanes","Other Alkanes",5,7
"61st & Passyunk","stationary",3,"pentane_2_3_4_trimethyl","0.6 [0.4, 0.9]","2,3,4-Trimethylpentane","pentane_2_3_4_trimethyl",114.232,"Alkanes","Other Alkanes",5,8
"61st & Passyunk","stationary",3,"cyclohexane_methyl","2.2 [1.5, 3.1]","Methylcyclohexane","cyclohexane_methyl",98.189,"Cyclohexanes","Other Alkanes",5,9
"61st & Passyunk","stationary",3,"x1_hexene","0.3 [0.1, 0.5]","1-Hexene","x1_hexene",84.162,"Alkenes","Alkenes",6,1
"61st & Passyunk","stationary",3,"x2_pentene_z_cis","0.1 [0.0, 0.1]","cis-2-Pentene","x2_pentene_z_cis",70.1329,"Alkenes","Alkenes",6,2
